SMILES,hmin,minsssN,MDEC-23,maxsssCH,MLogP,nC,maxsssN,AMR,VAdjMat,VP-1,SssO,VP-2,apol,nBonds,VP-3,LipoaffinityIndex,nBonds2,WTPT-1,Zagreb,ETA_Alpha
Oc1ccc2O[C@H]([C@H](Sc2c1)C3CCCC3)c4ccc(OCCN5CCCCC5)cc4,-0.436064912543642,2.51614156635586,28.2779319532237,0.789991280306902,3.77,26.0,2.51614156635586,126.1188,5.95419631038687,12.7556344570847,12.6431975554903,10.3361511249951,74.1701689999999,35.0,8.41790428179959,11.8309492000147,68.0,64.7716802790646,166.0,15.23332
Oc1ccc2O[C@H]([C@H](Sc2c1)C3CCCCCC3)c4ccc(OCCN5CCCCC5)cc4,-0.476881239074254,2.52124360717219,31.0767480441416,0.769157946973568,3.99,28.0,2.52124360717219,131.942,6.04439411935845,13.7556344570847,12.7578880597912,11.0432579061817,80.3573409999999,37.0,8.91790428179959,13.1499739066196,74.0,68.960023848721,174.0,16.23332
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCCCC5)cc4,-0.401857146103732,2.4844480437058,30.9010635919051,0.273861000340735,3.76999999999999,27.0,2.4844480437058,139.9304,6.04439411935845,12.4394536802143,12.5231753020603,9.80266831937986,74.0649969999999,37.0,7.61157988606824,10.577177295995,66.0,68.7489234615715,176.0,16.06665
Oc1ccc2O[C@H]([C@@H](CC3CCCCC3)Sc2c1)c4ccc(OCCN5CCCCC5)cc4,-0.452506239074254,2.51977360411128,30.5700011497603,0.850558355711188,3.99,28.0,2.51977360411128,133.4822,6.04439411935845,13.7387977046791,12.6940390371574,11.1663564045843,80.3573409999999,37.0,8.73655423901467,13.2127668888098,74.0,68.8836956281746,174.0,16.23332
Oc1ccc2O[C@H]([C@@H](Cc3ccccc3)Sc2c1)c4ccc(OCCN5CCCCC5)cc4,-0.414507018552712,2.5042173664946,30.5700011497603,0.497749889229624,3.99,28.0,2.5042173664946,143.1903,6.04439411935845,12.7782898264037,12.5988553514114,10.1163410043203,76.3565829999999,37.0,7.70009618887774,12.48969071493,68.0,68.8836956281746,174.0,16.23332
Oc1ccc2O[C@H]([C@H](Sc2c1)c3ccncc3)c4ccc(OCCN5CCCCC5)cc4,-0.391653064471079,2.49542310039514,28.2779319532237,0.350157296637031,3.66,26.0,2.49542310039514,134.7554,6.0,12.1548943927691,12.5413687450711,9.49168302513266,71.9362039999999,36.0,7.42459572283648,10.8927217662921,64.0,66.8902982143911,170.0,15.63332
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24Cc5ccc(OCCN6CCCCC6)cc5C4,-0.265019681196629,2.50541908754394,37.8037194278054,0.0,4.31999999999999,30.0,2.50541908754394,142.3273,6.08746284125034,12.427694953411,6.1778218018153,9.99337960506877,76.9765829999999,39.0,7.83155051284712,12.6138141871152,70.0,71.4532064593836,192.0,16.39999
Oc1ccc2O[C@H]([C@H](Sc2c1)c3occc3)c4ccc(OCCN5CCCCC5)cc4,-0.356551023654753,2.4901084745448,26.1030647521474,0.250157296637031,3.55,25.0,2.4901084745448,129.4149,5.95419631038687,11.7896478843074,12.448513913515,9.22655567344381,69.2114109999999,35.0,7.1737045474941,10.0239128645582,62.0,64.7716802790646,166.0,15.06665
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24Cc5ccccc5C4,0.152922453703703,0.0,33.3082377091945,0.0,3.76999999999999,23.0,0.0,110.8989,5.64385618977472,8.5755287730108,0.0,7.08081061935991,54.0862739999999,29.0,5.64727976631256,9.24320400238036,47.0,52.664178847659,146.0,12.16666
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24C(=O)c5ccccc5C4=O,-0.0252310484378937,0.0,34.1117722005128,0.0,3.55,23.0,0.0,112.3889,5.75488750216346,8.56956350110157,0.0,6.83027219158162,53.0231019999999,31.0,5.41881380502405,6.10009361878247,45.0,56.3514423380763,158.0,12.83332
